,demand
0,2
1,1
2,1
3,1
4,5
5,2
6,4
7,3
8,2
9,3
10,3
11,1
12,3
13,3
14,5
15,3
16,4
17,2
18,1
19,4
20,1
21,5
22,3
23,4
24,4
25,2
26,4
27,4
28,3
29,1
30,1
31,2
32,1
33,5
34,3
35,1
36,3
37,4
38,5
39,4
40,4
41,2
42,5
43,5
44,3
45,2
46,2
47,1
48,4
49,3
50,3
51,2
52,3
53,5
54,4
55,3
56,2
57,4
58,3
59,2
60,5
61,2
62,3
63,1
64,2
65,3
66,3
67,3
68,5
69,4
70,5
71,5
72,2
73,4
74,5
75,1
76,5
77,4
78,1
79,2
80,1
81,1
82,3
83,2
84,4
85,3
86,2
87,4
88,2
89,2
90,3
91,1
92,5
93,5
94,3
95,1
96,4
97,4
98,5
99,5
100,1
101,2
102,3
103,2
104,4
105,4
106,3
107,2
108,3
109,1
110,2
111,2
112,3
113,5
114,3
115,2
116,2
117,1
118,3
119,5
120,4
121,4
122,4
123,4
124,5
125,3
126,1
127,4
128,5
129,5
130,5
131,5
132,1
133,2
134,5
135,1
136,1
137,5
138,5
139,3
140,2
141,1
142,3
143,2
144,2
145,1
146,5
147,2
148,3
149,1
150,5
151,2
152,3
153,2
154,2
155,4
156,1
157,5
158,4
159,5
160,1
161,3
162,5
163,5
164,1
165,1
166,4
167,2
168,4
169,1
170,2
171,5
172,4
173,5
174,1
175,3
176,4
177,4
178,3
179,2
180,1
181,1
182,5
183,1
184,5
185,5
186,1
187,3
188,5
189,4
190,3
191,3
192,3
193,4
194,3
195,2
196,2
197,5
198,1
199,5
200,5
201,5
202,1
203,1
204,4
205,4
206,1
207,3
208,4
209,3
210,2
211,3
212,3
213,3
214,3
215,3
216,5
217,4
218,4
219,1
220,3
221,3
222,1
223,3
224,2
225,2
226,5
227,5
228,4
229,1
230,4
231,5
232,2
233,4
234,4
235,4
236,2
237,1
238,4
239,5
240,5
241,2
242,1
243,2
244,5
245,5
246,3
247,2
248,1
249,1
250,2
251,3
252,2
253,1
254,2
255,5
256,3
257,2
258,3
259,1
260,5
261,5
262,4
263,5
264,4
265,1
266,3
267,2
268,1
269,5
270,4
271,3
272,4
273,2
274,2
275,2
276,3
277,4
278,2
279,4
280,3
281,2
282,2
283,2
284,1
285,5
286,5
287,3
